Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,65,0,2,0.0,7490.0,-95.0,30,7516.1,7692.35,30,42500.0,73395,3.95,4.0,2460,-0.20000000000000018,4.0,25.76,617042,10081,111082,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,981,-15,74,0.0,7047.85,-291.6999999999998,30,7031.4,7110.0,300,43000.0,11670,4.3,4.4,2400,0.0,4.4,24.34,154910,2293,79029,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,13,0,0,0.0,0.0,0.0,375,6441.95,6714.9,375,43500.0,480,5.7,5.8,420,0.35000000000000053,5.7,23.32,187280,-5723,79685,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,107,6,17,26.75,6145.1,-176.59999999999945,30,6053.45,6175.55,120,44000.0,60,9.3,9.75,855,0.14999999999999858,9.2,23.09,140417,-6254,27238,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,0,0,0,0.0,0.0,0.0,375,5449.6,5709.45,375,44500.0,90,13.35,14.0,900,1.25,14.0,22.48,122999,-1407,17822,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,2401,-54,136,0.0,5100.5,-284.89999999999964,30,5069.55,5154.25,30,45000.0,90,18.3,19.55,330,1.0,18.55,21.61,223408,7295,47260,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,2,0,0,0.0,0.0,0.0,375,4475.7,4725.7,375,45500.0,735,26.85,27.15,975,2.3000000000000007,26.85,20.94,185675,9154,35129,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,1164,34,252,0.0,4124.9,-275.10000000000036,45,4086.3,4125.0,105,46000.0,105,39.85,41.5,180,3.75,39.85,20.39,324942,5877,87697,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,33,12,24,15.56,3650.0,-291.8000000000002,60,3617.75,3660.55,60,46500.0,75,60.35,61.55,90,6.600000000000001,60.35,19.9,267882,2495,45710,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,0,0,0,0.0,0.0,0.0,300,2755.7,3486.9,300,46900.0,600,82.7,86.75,120,8.099999999999994,83.75,19.54,66344,395,5281,0,08-Jan-2025 15:30:00
BANKNIFTY,49835.05,08-Jan-2025 15:30:00,0,5282,-8,575,14.87,3168.05,-316.75,105,3150.4,3182.2,75,47000.0,150,90.1,91.6,135,11.099999999999994,91.6,19.39,349591,4700,67143,0,08-Jan-2025 15:30:00
