Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
NIFTY,23209.95,21-Jan-2025 13:21:22,0,5,0,0,0.0,0.0,0.0,1125,1740.1,1839.35,1125,21350.0,729375,0.85,0.9,381300,-0.4,0.85,42.71,247384,-12825,75940,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,0,0,0,0.0,0.0,0.0,1125,1691.35,1788.85,1125,21400.0,449175,0.75,0.8,223650,-0.6499999999999999,0.75,41.63,126136,-7020,39902,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,0,0,0,0.0,0.0,0.0,750,1635.85,1739.05,750,21450.0,49875,0.85,0.9,47475,-0.7000000000000001,0.85,40.81,47638,-1736,6864,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,0,0,0,0.0,0.0,0.0,1125,1591.5,1690.9,1125,21500.0,519150,0.9,0.95,178050,-0.9,0.9,40.4,238640,-9417,58171,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,0,0,0,0.0,0.0,0.0,1125,1538.75,1641.7,1125,21550.0,49725,0.85,0.9,23025,-1.0,0.85,40.48,48922,-1316,5981,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,0,0,0,0.0,0.0,0.0,1125,1483.5,1611.75,1125,21600.0,125700,0.9,0.95,52425,-1.1,0.9,38.01,133895,-5167,24035,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,0,0,0,0.0,0.0,0.0,1125,1462.95,1509.5,1125,21650.0,33525,0.95,1.0,23100,-1.0999999999999999,0.95,38.46,51712,442,6217,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,5,0,0,0.0,0.0,0.0,1125,1415.15,1465.95,1125,21700.0,83775,1.0,1.05,165675,-1.2000000000000002,1.0,36.22,136236,-6318,28047,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,0,0,0,0.0,0.0,0.0,1125,1364.05,1416.45,1125,21750.0,47100,1.05,1.1,24525,-1.2,1.05,35.8,49353,50,6288,0,21-Jan-2025 13:21:22
NIFTY,23209.95,21-Jan-2025 13:21:22,0,4,1,3,0.0,1402.5,-75.84999999999991,1200,1333.75,1364.05,1200,21800.0,93975,1.15,1.2,132975,-1.2000000000000002,1.15,35.64,219758,-17541,30677,0,21-Jan-2025 13:21:22
