Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
OIL,430.95,05-Feb-2025 14:55:25,0,0,0,0,0.0,0.0,0.0,3225,96.75,101.25,1075,330.0,2150,0.1,1.4,1075,0.0,0.0,0.0,0,0,1,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,0,0,0,0.0,0.0,0.0,3225,87.55,91.15,1075,340.0,5375,0.6,1.25,3225,-0.8499999999999999,1.1,59.19,22,-12,89,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,0,0,0,0.0,0.0,0.0,1075,77.65,80.55,1075,350.0,8600,1.25,1.4,9675,-2.25,1.25,54.28,58,19,28,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,1,0,2,0.0,57.3,17.699999999999996,1075,68.6,70.6,1075,360.0,9675,1.9,2.1,10750,-2.5,2.0,53.45,265,54,268,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,78,72,101,0.0,61.05,21.349999999999994,1075,59.6,61.4,1075,370.0,6450,2.85,3.0,6450,-3.6,2.85,53.32,103,13,66,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,5,-1,4,0.0,40.6,7.899999999999999,1075,51.05,52.8,1075,380.0,2150,4.2,4.3,2150,-4.85,4.25,52.48,243,-51,92,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,66,-21,92,28.23,44.2,17.450000000000003,1075,43.65,44.15,1075,390.0,2150,6.0,6.1,2150,-6.3999999999999995,6.05,51.36,296,-96,216,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,155,2,539,32.62,36.75,16.3,1075,36.2,36.7,1075,400.0,3225,8.3,8.5,1075,-8.100000000000001,8.5,50.72,588,90,422,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,145,-148,447,36.73,29.95,14.149999999999999,1075,29.4,29.85,1075,410.0,1075,11.4,11.7,1075,-10.15,11.65,50.58,275,67,169,0,05-Feb-2025 14:55:25
OIL,430.95,05-Feb-2025 14:55:25,0,191,-38,2710,37.15,23.85,12.000000000000002,1075,23.45,23.75,2150,420.0,1075,15.4,15.7,2150,-12.399999999999999,15.5,51.04,682,135,367,0,05-Feb-2025 14:55:25
