Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,0,0,0,0.0,0.0,0.0,300,14230.95,14977.95,300,40500,120,13.35,13.55,30,0.5,13.55,45.57,6547,132,10894,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,26,0,0,0.0,0.0,0.0,30,13977.7,14609.5,330,41000,120,14.85,15.25,120,2.0500000000000007,15.75,44.51,5890,398,3793,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,0,0,0,0.0,0.0,0.0,300,13392.6,14115.65,300,41500,150,15.1,16.8,90,0.9499999999999993,15.95,43.18,1151,-40,504,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,0,0,0,0.0,0.0,0.0,300,12978.45,13608.15,300,42000,150,17.05,17.75,150,1.3500000000000014,17.75,42.22,2200,36,2231,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,3,0,0,0.0,0.0,0.0,300,12349.15,13032.1,300,42500,60,18.2,18.95,60,0.9499999999999993,18.9,40.96,1877,-194,669,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,5,0,0,0.0,0.0,0.0,300,11769.55,12675.8,300,42900,270,17.0,22.0,30,2.0,21.0,40.23,12,2,75,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,195,-2,3,0.0,12163.9,-266.10000000000036,30,12183.9,12318.7,150,43000,150,19.55,20.9,30,1.1000000000000014,20.25,39.71,5158,1008,2778,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,4,0,0,0.0,0.0,0.0,300,11634.4,12497.7,300,43100,30,18.4,23.9,150,1.6999999999999993,20.05,39.35,105,18,37,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,4,0,0,0.0,0.0,0.0,300,11527.9,12393.1,300,43200,60,17.6,22.95,60,1.1499999999999986,21.15,39.28,240,26,41,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,4,0,0,0.0,0.0,0.0,300,11407.55,12197.05,300,43300,150,21.4,22.3,30,-0.25,21.4,39.05,240,7,103,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,9,0,0,0.0,0.0,0.0,300,11337.5,12186.6,330,43400,150,18.35,24.75,30,0.9499999999999993,21.95,38.86,305,-28,39,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,9,0,0,0.0,0.0,0.0,330,11484.55,12089.55,330,43500,60,21.65,24.7,30,0.3999999999999986,21.25,38.37,1037,52,386,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,9,0,0,0.0,0.0,0.0,300,11102.2,13386.1,300,43600,300,19.35,25.85,30,-1.75,19.25,37.57,368,30,115,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,11,0,0,0.0,0.0,0.0,300,11019.4,11887.7,300,43700,30,20.4,28.65,90,1.75,23.4,38.23,146,35,94,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,8,0,0,0.0,0.0,0.0,300,10936.3,12218.75,300,43800,300,20.35,25.35,90,1.8999999999999986,24.25,38.09,29,-4,82,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,9,0,0,0.0,0.0,0.0,300,10813.85,12403.9,300,43900,60,22.5,27.7,900,-0.05000000000000071,23.8,37.67,319,10,114,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,18,0,0,0.0,0.0,0.0,330,10988.05,11441.6,300,44000,120,25.05,25.8,390,2.3500000000000014,25.8,37.54,6311,796,2775,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,9,0,0,0.0,0.0,0.0,750,10980.3,11915.95,300,44100,30,22.4,31.45,150,4.100000000000001,25.1,37.31,182,14,122,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,9,0,0,0.0,0.0,0.0,300,10551.25,11959.55,300,44200,30,22.2,27.95,30,4.050000000000001,23.0,36.55,394,4,124,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,14,0,0,0.0,0.0,0.0,300,10443.75,11282.05,300,44300,30,25.2,29.0,240,2.5500000000000007,27.0,37.04,313,17,135,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,9,0,0,0.0,0.0,0.0,300,10348.65,11582.85,300,44400,60,24.95,32.0,30,-0.3500000000000014,24.75,36.27,528,5,229,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,13,0,0,0.0,0.0,0.0,30,10667.75,10946.75,330,44500,60,28.05,29.4,420,2.799999999999997,28.4,36.67,2326,33,689,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,10,0,0,0.0,0.0,0.0,300,10183.8,11459.5,300,44600,30,30.0,34.6,120,3.8000000000000007,30.0,36.07,430,145,285,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,9,0,0,0.0,0.0,0.0,300,10052.9,12688.65,90,44700,2070,20.05,0.0,0,0.0,0.0,0.0,0,0,3,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,12,0,0,0.0,0.0,0.0,300,9964.7,11448.85,90,44800,2970,20.1,0.0,0,0.0,0.0,0.0,0,0,3,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,12,0,0,0.0,0.0,0.0,300,9864.75,11340.0,90,44900,1170,20.1,0.0,0,0.0,0.0,0.0,0,0,3,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,2588,32,37,0.0,10250.0,-183.04999999999927,30,10187.05,10261.2,30,45000,90,32.05,32.7,60,3.6000000000000014,32.5,35.62,9028,198,10633,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,12,0,0,0.0,0.0,0.0,300,9981.7,10577.2,330,45100,30,31.95,36.45,60,11.75,31.9,35.58,358,79,84,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,12,0,0,0.0,0.0,0.0,300,9577.6,11038.85,90,45200,4770,20.15,0.0,0,0.0,0.0,0.0,0,0,3,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,11,0,0,0.0,0.0,0.0,300,9476.3,11187.75,90,45300,4770,20.15,0.0,0,0.0,0.0,0.0,0,0,3,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,12,0,0,0.0,0.0,0.0,330,9684.25,10282.75,330,45400,150,33.05,39.45,30,2.9000000000000057,36.2,35.0,401,-7,68,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,16,0,0,0.0,0.0,0.0,30,9640.9,9995.7,330,45500,60,35.8,37.3,60,4.899999999999999,36.4,34.67,2577,170,1184,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,10,0,0,0.0,0.0,0.0,300,9186.95,10879.85,90,45600,4500,20.25,0.0,0,0.0,0.0,0.0,0,0,53,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,12,0,0,0.0,0.0,0.0,300,9088.0,10757.75,90,45700,4470,20.25,0.0,0,0.0,0.0,0.0,0,0,0,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,8,0,0,0.0,0.0,0.0,300,8989.65,10651.55,90,45800,4470,20.3,0.0,0,0.0,0.0,0.0,0,0,0,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,6,0,0,0.0,0.0,0.0,300,8911.85,10280.8,120,45900,5370,20.35,0.0,0,0.0,0.0,0.0,0,0,3,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,601,3,5,0.0,9350.0,-192.89999999999964,30,9120.5,9321.9,90,46000,90,40.85,41.35,60,5.75,41.25,33.61,9865,520,6948,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,6,0,0,0.0,0.0,0.0,300,8700.2,10311.15,90,46100,8970,20.45,0.0,0,0.0,0.0,0.0,0,0,0,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,6,0,0,0.0,0.0,0.0,300,8618.4,10204.6,90,46200,7200,20.55,0.0,0,0.0,0.0,0.0,0,0,3,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,4,0,0,0.0,0.0,0.0,300,8525.2,10098.0,120,46300,8070,20.6,0.0,0,0.0,0.0,0.0,0,0,31,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,8,0,0,0.0,0.0,0.0,300,8428.15,9758.95,120,46400,7170,20.7,0.0,0,0.0,0.0,0.0,0,0,5,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,8,0,0,0.0,0.0,0.0,30,8672.6,8980.8,330,46500,420,46.9,47.95,60,7.649999999999999,47.25,32.74,5187,346,2386,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,6,0,0,0.0,0.0,0.0,300,8298.55,9173.6,600,46600,10770,20.9,0.0,0,0.0,0.0,0.0,0,0,20,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,3,0,0,0.0,0.0,0.0,300,8147.85,9683.65,90,46700,9900,21.05,0.0,0,0.0,0.0,0.0,0,0,3,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,6,0,0,0.0,0.0,0.0,300,8044.85,9329.05,120,46800,8280,21.15,0.0,0,0.0,0.0,0.0,0,0,21,0,30-Apr-2025 14:25:27
BANKNIFTY,55137.1,30-Apr-2025 14:25:27,0,3,0,0,0.0,0.0,0.0,300,8040.1,8863.2,600,46900,8070,21.35,0.0,0,0.0,0.0,0.0,0,0,0,0,30-Apr-2025 14:25:27
