Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,190,6100,0.55,0.65,28975,0.4,0.65,90.7,76,51,53,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,200,12200,0.85,0.95,22875,0.6,0.95,85.49,148,30,52,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,14,14,16,0.0,50.0,-66.3,10675,59.95,62.0,4575,210,13725,1.25,1.4,21350,0.8999999999999999,1.4,80.65,39,-6,27,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,4,0,2,0.0,52.85,13.25,1525,55.65,57.1,1525,215,12200,1.5,1.6,3050,1.0,1.6,78.32,54,8,32,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,8,0,1,0.0,40.55,-2.1000000000000014,6100,49.55,51.95,1525,220,10675,1.9,1.95,4575,1.0499999999999998,1.95,75.9,453,13,137,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,17,0,3,0.0,38.6,4.5,1525,46.7,47.8,1525,225,10675,2.3,2.4,9150,1.2000000000000002,2.6,74.67,71,-3,45,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,45,0,72,87.83,44.6,13.200000000000003,1525,42.3,43.2,3050,230,15250,2.85,2.95,13725,1.0499999999999998,2.9,71.75,814,10,402,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,17,6,140,65.02,37.4,11.95,1525,38.25,38.9,1525,235,1525,3.5,3.6,15250,1.0499999999999998,3.5,70.37,530,14,227,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,51,25,155,72.3,34.6,10.900000000000002,1525,33.6,34.2,1525,240,4575,4.3,4.35,1525,0.8999999999999999,4.3,68.39,1268,42,488,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,57,20,140,58.91,28.65,10.849999999999998,1525,29.65,30.6,3050,245,1525,5.25,5.35,3050,0.6999999999999993,5.35,66.71,351,53,94,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,309,-99,1251,63.52,26.2,10.899999999999999,1525,26.0,26.45,1525,250,1525,6.5,6.6,1525,0.20000000000000018,6.55,65.67,1786,-39,336,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,196,-63,604,63.4,22.9,10.349999999999998,1525,22.8,23.05,3050,255,1525,7.9,8.0,4575,-0.5500000000000007,8.0,64.29,693,76,208,0,07-Apr-2025 15:06:55
DELHIVERY,269.05,07-Apr-2025 15:06:55,0,1254,-199,5692,62.29,19.7,9.45,1525,19.4,19.65,4575,260,4575,9.65,9.8,10675,-0.9499999999999993,9.65,62.78,2318,311,760,0,07-Apr-2025 15:06:55
