Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
NIFTY,23721.2,24-Dec-2024 14:38:54,0,8,0,0,0.0,0.0,0.0,0,0.0,10077.4,1000,14000.0,366650,0.35,0.4,91700,-0.050000000000000044,0.35,215.47,265685,-22041,16563,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,458,-40,69,302.88,8761.75,-10.299999999999272,25,8725.05,8765.85,25,15000.0,136450,0.35,0.4,1350,-0.050000000000000044,0.35,190.65,120984,-4519,6546,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,6687,-3349,4307,238.33,7779.9,0.049999999999272404,100,7752.3,7771.25,25,16000.0,260475,0.35,0.45,21250,0.0,0.4,168.29,151306,-14111,8736,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,909,-20,48,223.29,6765.0,70.0,125,6750.6,6765.55,25,17000.0,16125,0.45,0.5,5625,0.0,0.45,143.96,123870,-2629,12195,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,1294,-1038,1449,172.33,5775.95,-1.4000000000005457,25,5750.0,5762.75,50,18000.0,68425,0.45,0.5,81625,0.0,0.5,121.88,169852,-33604,19461,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,42,0,0,0.0,0.0,0.0,25,4800.0,0.0,0,18500.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,2699,-74,774,142.65,4763.15,-6.450000000000728,50,4760.0,4768.2,75,19000.0,2925550,0.2,0.25,2646700,-0.25,0.2,91.74,1111202,111255,185947,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,10462,-1210,2735,106.26,3760.0,-12.849999999999909,100,3752.5,3758.55,25,20000.0,1724100,0.3,0.35,1192700,-0.2,0.3,75.34,456700,91379,234786,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,17734,-1324,3479,79.41,2760.25,-17.550000000000182,75,2752.65,2757.15,25,21000.0,29975,0.75,0.8,66775,-0.1499999999999999,0.8,59.76,513069,-12189,162942,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,36,0,0,0.0,0.0,0.0,1000,2101.9,2211.15,1000,21600.0,47250,1.35,1.4,40700,-0.34999999999999987,1.35,50.03,323361,-36476,234949,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,14,0,0,0.0,0.0,0.0,1000,2041.9,2166.0,1000,21650.0,16250,1.3,1.35,17425,-0.3999999999999999,1.35,48.99,50738,113,15469,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,8,0,0,0.0,0.0,0.0,1000,2002.2,2106.4,1000,21700.0,37325,1.4,1.45,46375,-0.3500000000000001,1.4,48.03,167717,-6256,49441,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,4,0,0,0.0,0.0,0.0,25,1964.65,2061.1,1000,21750.0,13225,1.45,1.5,24575,-0.44999999999999996,1.45,47.06,42877,-2139,13395,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,54,0,0,0.0,0.0,0.0,1000,1902.5,2008.1,1125,21800.0,33125,1.45,1.5,43425,-0.5,1.5,46.02,252848,-4474,95616,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,6,0,0,0.0,0.0,0.0,1000,1861.4,1954.7,1000,21850.0,5250,1.5,1.55,4025,-0.6000000000000001,1.5,44.85,28037,-873,6929,0,24-Dec-2024 14:38:54
NIFTY,23721.2,24-Dec-2024 14:38:54,0,19,0,0,0.0,0.0,0.0,1000,1809.15,1911.1,1000,21900.0,27575,1.55,1.6,25250,-0.55,1.55,43.91,117329,-2980,51745,0,24-Dec-2024 14:38:54
