Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
ZOMATO,245.7,15-Jan-2025 15:30:00,0,0,0,0,0.0,0.0,0.0,6000,52.6,57.5,6000,190.0,2000,0.15,0.5,20000,0.0,0.0,0.0,0,0,0,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,0,0,0,0.0,0.0,0.0,6000,47.65,52.45,6000,195.0,6000,0.35,0.6,4000,-0.35,0.35,62.8,29,-16,253,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,31,-12,18,40.43,46.6,8.75,2000,45.95,47.0,2000,200.0,30000,0.5,0.55,20000,-0.35,0.55,62.14,1201,-8,790,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,0,0,0,0.0,0.0,0.0,2000,40.6,42.3,6000,205.0,4000,0.65,0.7,10000,-0.5499999999999999,0.65,58.09,568,145,286,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,35,-4,9,45.5,36.95,9.750000000000004,6000,36.1,37.1,2000,210.0,26000,0.8,0.9,24000,-0.7500000000000001,0.85,55.24,1265,-272,397,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,78,-26,50,48.42,32.45,10.100000000000001,2000,31.6,32.4,2000,215.0,4000,1.1,1.2,16000,-1.1,1.1,52.21,1087,-166,519,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,220,35,439,0.0,27.35,9.450000000000003,2000,26.95,27.45,4000,220.0,8000,1.5,1.55,8000,-1.6,1.5,50.39,3483,354,2047,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,184,32,1451,41.17,23.0,8.8,2000,22.75,23.2,2000,225.0,4000,2.15,2.25,12000,-2.3000000000000003,2.15,48.46,2196,212,851,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,824,-225,3086,41.93,18.85,7.800000000000001,6000,18.55,18.9,2000,230.0,6000,3.0,3.15,14000,-3.2499999999999996,3.1,47.52,3707,233,2716,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,1026,-105,4879,41.35,15.1,6.6,8000,15.1,15.2,4000,235.0,12000,4.2,4.35,2000,-4.4,4.4,46.53,4077,180,1193,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,5123,2963,13127,40.48,11.9,5.4,4000,11.75,11.9,2000,240.0,6000,5.95,6.0,4000,-5.699999999999999,6.0,45.77,6128,465,2979,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,5497,1030,8593,41.64,9.4,4.45,2000,9.3,9.4,2000,245.0,2000,8.2,8.4,22000,-6.6,8.4,46.73,2912,367,937,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,8986,-295,11955,43.09,7.1,3.3999999999999995,6000,7.1,7.2,20000,250.0,2000,11.1,12.2,10000,-7.650000000000002,11.2,47.51,1416,-214,3477,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,2526,52,3801,43.04,5.25,2.6,18000,5.2,5.3,4000,255.0,2000,14.15,14.5,2000,-8.200000000000001,14.35,48.29,545,58,547,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,2867,194,5940,43.82,3.85,1.9500000000000002,26000,3.85,3.9,2000,260.0,2000,17.6,18.1,2000,-8.950000000000003,17.9,49.35,392,-31,1172,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,1451,249,1619,44.45,2.75,1.3,8000,2.75,2.8,2000,265.0,2000,21.55,22.1,4000,-9.5,21.95,50.76,144,-32,266,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,2141,34,2817,44.98,2.05,0.9499999999999997,8000,2.05,2.1,24000,270.0,2000,25.8,26.35,4000,-9.800000000000004,26.15,52.69,97,-21,843,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,1760,36,1514,46.78,1.55,0.65,10000,1.5,1.55,24000,275.0,2000,30.1,30.65,2000,-10.299999999999997,30.5,54.52,204,6,492,0,15-Jan-2025 15:30:00
ZOMATO,245.7,15-Jan-2025 15:30:00,0,2910,-262,2131,47.87,1.2,0.5,12000,1.15,1.2,6000,280.0,2000,34.7,35.25,4000,-10.75,35.1,56.12,64,-18,780,0,15-Jan-2025 15:30:00
