Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,55,0,0,0.0,0.0,0.0,150,8298.1,8616.8,150,42500.0,13350,4.3,4.35,15705,-0.15000000000000036,4.3,25.15,25946,5504,63197,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,1857,-185,486,0.0,7943.7,-269.90000000000055,150,7929.6,7944.0,150,43000.0,975,4.6,4.65,2700,-0.15000000000000036,4.6,23.84,13847,3423,57324,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,13,0,0,0.0,0.0,0.0,150,7273.0,7616.05,150,43500.0,1920,5.25,5.3,2010,-0.5999999999999996,5.25,22.73,22905,5247,71456,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,88,0,0,0.0,0.0,0.0,150,6782.7,7120.95,150,44000.0,3015,8.55,8.65,2250,-0.3999999999999986,8.55,22.51,7776,1449,18709,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,150,6271.7,6622.3,150,44500.0,1860,11.5,11.6,585,-0.25,11.55,21.82,10294,-1397,14182,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,2570,20,41,0.0,5940.0,-293.14999999999964,150,5940.1,5958.7,120,45000.0,435,16.3,16.4,1260,0.3999999999999986,16.2,21.37,18636,-847,33622,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,90,5332.05,5630.15,90,45500.0,360,22.0,22.2,75,1.3999999999999986,22.2,20.57,11186,1021,15033,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,1140,-1,5,24.99,5075.0,-175.0,75,4935.15,5012.1,45,46000.0,660,32.0,32.25,225,3.0500000000000007,32.1,20.21,17907,2010,40780,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,22,0,0,0.0,0.0,0.0,15,4444.35,4560.6,15,46500.0,135,45.55,45.75,750,5.049999999999997,45.55,19.61,23084,5544,44212,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,3731,2,21,12.2,4000.0,-288.9499999999998,15,3996.6,4040.7,75,47000.0,630,66.75,67.0,165,9.0,66.75,19.31,29956,-2249,66459,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,75,3871.8,3986.65,75,47100.0,225,71.6,71.9,180,9.950000000000003,71.7,19.13,2739,-25,3965,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,75,3744.6,3881.75,90,47200.0,45,77.3,77.95,150,11.400000000000006,78.5,19.07,4031,972,9204,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,90,3671.65,3821.0,90,47300.0,105,83.1,83.6,195,12.0,83.35,18.96,3277,-96,2171,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,90,3598.3,3699.9,90,47400.0,30,89.3,90.0,690,10.350000000000009,89.7,18.89,8232,-2307,2450,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,152,0,1,0.0,3584.0,-248.19999999999982,15,3546.55,3575.8,540,47500.0,75,96.4,96.65,195,13.75,96.65,18.81,23918,723,35492,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,90,3413.9,3526.4,90,47600.0,60,103.7,104.15,375,15.550000000000011,104.15,18.81,3747,803,2458,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,90,3328.85,3434.35,90,47700.0,165,111.3,111.75,120,17.450000000000003,111.95,18.66,3351,121,4255,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,105,3231.95,3340.45,105,47800.0,60,119.9,120.65,165,18.150000000000006,119.9,18.68,4446,207,3715,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,0,0,0,0.0,0.0,0.0,105,3141.35,3245.35,105,47900.0,45,128.65,129.55,45,19.30000000000001,128.3,18.51,2151,668,2038,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,3158,0,110,17.05,3100.0,-274.75,45,3092.15,3112.05,45,48000.0,30,138.4,138.8,75,20.900000000000006,138.0,18.45,24786,1749,62326,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,5,0,8,15.74,2991.1,-209.4000000000001,120,2962.35,3039.15,45,48100.0,15,148.5,149.05,15,24.0,148.9,18.39,2434,57,2731,0,01-Jan-2025 09:39:45
BANKNIFTY,50624.95,01-Jan-2025 09:39:45,0,6,4,5,21.21,3050.0,-155.55000000000018,120,2868.25,2947.35,45,48200.0,90,159.3,160.0,45,27.05000000000001,160.0,18.33,2424,175,4603,0,01-Jan-2025 09:39:45
