Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,54,1,3,0.0,8630.0,-193.10000000000036,60,8606.3,8752.75,15,42500.0,7305,4.45,4.5,2970,0.7000000000000002,4.5,25.27,94989,-24828,66103,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,2384,9,137,0.0,8095.35,-243.04999999999927,45,8117.5,8225.15,45,43000.0,2805,4.7,4.75,1200,0.7000000000000002,4.7,23.98,78985,-14646,64782,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,13,0,0,0.0,0.0,0.0,150,7528.45,7848.95,150,43500.0,750,5.6,5.65,3450,1.1499999999999995,5.6,22.96,69412,-10978,77330,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,88,0,0,0.0,0.0,0.0,150,7039.6,7350.4,150,44000.0,795,8.5,8.55,30,1.5500000000000007,8.55,22.66,27849,-2071,18173,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,0,0,0,0.0,0.0,0.0,150,6398.5,6861.25,150,44500.0,960,11.65,11.75,1350,2.0,11.65,22.04,34970,5266,13564,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,2549,86,239,0.0,6178.0,-186.05000000000018,30,6164.0,6234.55,45,45000.0,720,15.6,15.7,375,2.5,15.65,21.32,53953,6262,33715,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,0,0,0,0.0,0.0,0.0,90,5621.95,5876.05,240,45500.0,75,20.65,20.75,60,2.8500000000000014,20.8,20.6,36716,7136,13929,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,1144,4,95,16.81,5220.0,-117.94999999999982,180,5183.05,5248.95,15,46000.0,1140,29.2,29.4,45,3.4499999999999993,29.2,20.05,97942,4183,37738,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,19,0,3,0.0,4622.7,-188.35000000000036,60,4701.7,4783.7,30,46500.0,255,40.65,40.9,75,4.699999999999996,40.65,19.45,57524,7821,37632,0,31-Dec-2024 13:17:22
BANKNIFTY,50852.05,31-Dec-2024 13:17:22,0,3540,69,151,0.0,4215.55,-206.30000000000018,300,4225.9,4270.6,45,47000.0,210,58.7,58.95,120,7.950000000000003,58.75,19.01,98515,706,65430,0,31-Dec-2024 13:17:22
