Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
NIFTY,23155.2,14-Jan-2025 14:05:54,0,25,0,28,81.33,1872.4,-1475.65,75,1787.2,1846.15,375,21350.0,1068975,1.25,1.3,178800,0.65,1.25,43.44,258365,0,42045,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1688.9,1892.65,750,21400.0,69375,1.25,1.3,56625,0.55,1.25,42.14,117872,0,10522,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1642.15,1842.2,750,21450.0,27825,1.3,1.35,29325,0.5000000000000001,1.35,41.22,41768,0,4585,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1594.35,1790.95,750,21500.0,3110025,1.35,1.4,87000,0.44999999999999996,1.4,40.46,209098,0,35145,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1545.0,1740.8,750,21550.0,17700,1.5,1.55,11025,0.3500000000000001,1.5,39.82,40996,0,5024,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,2,0,3,67.39,1609.15,-1491.35,750,1565.7,1667.65,825,21600.0,28650,1.6,1.65,28650,0.30000000000000004,1.6,38.99,68992,0,11090,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1450.4,1639.75,750,21650.0,7650,1.75,1.8,14025,0.25,1.75,38.4,47904,0,6879,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1475.05,1524.15,750,21700.0,3768075,1.9,1.95,431925,-2.1,1.9,37.49,262487,5491,79686,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1424.7,1473.0,750,21750.0,17850,2.2,2.25,18300,-2.1500000000000004,2.25,37.23,49587,1370,7285,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,2,1,2,70.75,1440.0,-44.450000000000045,750,1375.85,1403.85,675,21800.0,120225,2.3,2.4,184800,-2.4,2.4,36.34,226712,-13658,49744,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,1,0,0,0.0,0.0,0.0,750,1326.15,1373.5,750,21850.0,10650,2.8,2.85,30525,-2.6500000000000004,2.8,35.88,119716,-16834,59920,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,1,0,0,0.0,0.0,0.0,750,1276.65,1323.8,825,21900.0,2169225,3.15,3.2,117825,-2.75,3.2,35.23,126343,4693,49191,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1226.45,1274.1,750,21950.0,7200,3.5,3.55,1500,-2.95,3.55,34.58,60482,746,17595,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,194,12,46,40.09,1180.0,55.700000000000045,225,1189.3,1194.5,300,22000.0,19950,3.8,3.85,36675,-3.2,3.8,33.66,342311,19945,146839,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1127.45,1174.7,750,22050.0,5025,4.3,4.35,4425,-3.3500000000000005,4.35,32.94,87168,117,32863,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,9,0,0,0.0,0.0,0.0,750,1077.95,1125.0,750,22100.0,4500,4.7,4.75,25350,-3.5,4.75,32.16,213531,10127,86649,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,1028.45,1075.35,750,22150.0,2775,5.05,5.1,5850,-3.8500000000000005,5.05,31.21,124264,3257,44299,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,9,0,0,0.0,0.0,0.0,750,979.0,1025.65,750,22200.0,13725,5.35,5.45,17550,-4.1,5.35,30.23,217038,2972,62800,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,929.6,976.0,750,22250.0,3975,5.95,6.0,9075,-4.249999999999999,5.95,29.28,116452,11982,21321,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,84,4,41,44.93,916.1,83.60000000000002,1200,893.4,898.05,75,22300.0,9225,6.45,6.5,10275,-4.6499999999999995,6.45,28.41,269083,20049,51087,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,0,0,0,0.0,0.0,0.0,750,830.95,876.85,750,22350.0,15525,7.0,7.05,24600,-5.000000000000001,7.05,27.51,184251,23422,32219,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,928,916,1242,31.61,787.0,44.450000000000045,600,796.0,799.0,450,22400.0,9225,7.8,7.85,17400,-5.6499999999999995,7.8,26.61,325303,54819,98880,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,12,10,23,41.67,754.55,-275.10000000000014,825,744.85,749.45,600,22450.0,10575,8.5,8.55,8025,-6.149999999999999,8.55,25.63,272036,61013,73076,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,875,-50,2411,32.83,700.75,55.450000000000045,150,697.55,700.1,150,22500.0,10725,9.2,9.25,6975,-7.199999999999999,9.2,24.51,542149,61348,137384,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,880,875,1300,28.21,650.0,53.75,75,648.25,650.9,75,22550.0,3075,9.8,9.85,10050,-8.500000000000002,9.85,23.33,196548,2956,16263,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,366,64,692,28.27,605.0,55.85000000000002,150,599.4,601.6,150,22600.0,6300,10.45,10.5,6300,-10.2,10.5,22.13,304308,7616,45079,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,110,33,294,28.5,554.2,44.200000000000045,225,550.25,552.7,75,22650.0,3825,11.2,11.25,1575,-12.75,11.2,20.94,190662,6281,17557,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,485,17,2005,26.28,504.4,49.049999999999955,150,501.7,503.55,150,22700.0,2325,12.35,12.4,6600,-15.749999999999998,12.4,19.78,340811,4575,45250,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,264,90,879,24.09,452.85,42.75,225,452.9,454.9,300,22750.0,7575,13.85,13.95,8475,-19.450000000000003,13.9,18.77,239717,2770,18315,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,1219,341,10580,23.06,408.0,39.89999999999998,75,405.85,406.9,450,22800.0,37050,15.85,15.95,36675,-24.050000000000004,15.9,17.79,582416,11325,56483,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,556,-59,3935,21.9,358.25,32.0,150,357.3,358.45,150,22850.0,2775,18.55,18.6,5250,-29.55,18.55,16.8,342818,6613,22353,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,3295,-171,29000,20.36,312.85,29.600000000000023,75,312.05,312.9,75,22900.0,14475,22.15,22.25,12375,-35.3,22.25,15.85,703232,16514,66217,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,2868,344,19823,19.02,267.5,21.19999999999999,75,267.2,267.85,225,22950.0,825,27.55,27.6,2850,-42.35,27.6,15.09,450659,12011,31292,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,27794,-2066,292377,18.08,225.4,13.5,150,225.0,225.55,150,23000.0,2025,34.7,34.8,5850,-50.5,34.75,14.29,1564457,58131,151630,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,12883,2866,143539,16.94,184.85,6.0,225,184.35,184.75,225,23050.0,2700,44.6,44.7,1650,-58.349999999999994,44.45,13.69,606535,12522,33588,0,14-Jan-2025 14:05:54
NIFTY,23155.2,14-Jan-2025 14:05:54,0,35723,-3234,710653,16.05,147.8,-1.5,225,147.65,147.95,375,23100.0,150,57.45,57.5,3075,-65.2,57.55,13.02,1438478,31060,83917,0,14-Jan-2025 14:05:54
