Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
NIFTY,22639.05,10-Mar-2025 10:20:45,0,6.0,0.0,0,0.0,0.0,0.0,1125,2226.85,2336.15,1125,20350.0,1408725,0.65,0.7,701550,-0.19999999999999996,0.65,42.41,49063,4821,77181.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,5.0,0.0,0,0.0,0.0,0.0,1125,2176.95,2286.1,1125,20400.0,604725,0.65,0.7,570375,-0.19999999999999996,0.65,41.53,50047,1798,31257.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,6.0,0.0,0,0.0,0.0,0.0,1125,2137.55,2438.35,1125,20450.0,71925,0.7,0.75,73650,-0.20000000000000007,0.7,40.95,11279,584,2661.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,19.0,0.0,0,0.0,0.0,0.0,1125,2087.35,2174.7,1125,20500.0,73350,0.75,0.8,98025,-0.19999999999999996,0.8,40.34,37998,137,37883.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,7.0,0.0,0,0.0,0.0,0.0,1125,1858.9,2321.85,1125,20550.0,66000,0.75,0.8,39000,-0.19999999999999996,0.8,39.7,7695,266,1859.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,8.0,0.0,0,0.0,0.0,0.0,1125,1857.95,2077.2,1125,20600.0,81675,0.75,0.8,98850,-0.25,0.75,38.81,17782,545,5621.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,5.0,0.0,0,0.0,0.0,0.0,1125,1937.65,2232.75,1125,20650.0,108000,0.8,0.85,9225,-0.2500000000000001,0.85,38.15,8200,671,2688.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,10.0,0.0,0,0.0,0.0,0.0,1125,1765.7,1955.95,1125,20700.0,85950,0.85,0.9,143325,-0.29999999999999993,0.9,37.25,16975,1278,15509.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,13.0,0.0,0,0.0,0.0,0.0,1125,1827.95,1928.6,1125,20750.0,50175,0.85,0.9,40125,-0.35,0.9,36.35,7630,332,3231.0,0,10-Mar-2025 10:20:45
NIFTY,22639.05,10-Mar-2025 10:20:45,0,10.0,0.0,0,0.0,0.0,0.0,1125,1693.4,1999.95,1125,20800.0,105300,0.9,0.95,268875,-0.45000000000000007,0.9,35.66,28553,797,27536.0,0,10-Mar-2025 10:20:45
